SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Trillium_grandiflorum,-80.0333333333,41.7166666667,1.3745848181
Trillium_grandiflorum,-80.2333333333,41.6666666667,1.3734591426
Trillium_grandiflorum,-80.0833333333,41.7833333333,1.3709061937
Trillium_grandiflorum,-80.2,41.8,1.2406977038
Trillium_grandiflorum,-80,41.4,1.3155682073
Trillium_grandiflorum,-80.05,41.7333333333,1.2025467125
Trillium_grandiflorum,-80.4,41.4833333333,1.3460870227
Trillium_grandiflorum,-79.9666666667,41.3333333333,1.3068606551
Trillium_grandiflorum,-80.35,41.6,1.4781147811
Trillium_grandiflorum,-80.0666666667,41.6833333333,1.3179997558
Trillium_grandiflorum,-79.95,41.75,1.463914272
Trollius_laxus,-75.7833333333,42.9,1.7509285626
Trollius_laxus,-75.7833333333,42.9,2.4793667272
Viola_fimbriatula,-71.5083333333,42.5083333333,2.4653787145
Zea_diploperennis,-104.2666666667,19.6,1.7633870968
Astrocaryum_mexicanum,-95.1166666667,18.6,1.0052052052
Astrocaryum_mexicanum,-95.1166666667,18.6,1.028692026
Astrocaryum_mexicanum,-95.1166666667,18.6,1.0204925418
Astrocaryum_mexicanum,-95.1166666667,18.6,1.0057384476
Astrocaryum_mexicanum,-95.1166666667,18.6,1.0265712414
Astrocaryum_mexicanum,-95.1166666667,18.6,1.0206938649
Borassus_aethiopum,-5.0333333333,6.2166666667,1.0841975573
Borassus_aethiopum,-5.0333333333,6.2166666667,1.0738999243
Calamus_rhabdocladus,107.8666666667,16.2,1.0807389047
Calamus_rhabdocladus,107.8666666667,16.2,1.0956760226
Ceratozamia_norstogii,-94,16.7666666667,1.414189019
Chamaedorea_elegans,-96.5,17.95,1.254810204
Chamaedorea_elegans,-96.5,17.95,1.1766180106
Chamaedorea_elegans,-96.5,17.95,1.0180581
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.4460143962
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.6942806004
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.5869595987
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.6900535779
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.6309180733
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.771289577
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.7650025891
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.6849247644
